sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2003","2003",84,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2004","2004",84.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2005","2005",85.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2006","2006",87.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2007","2007",90.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2008","2008",92.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2009","2009",97,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2010","2010",100,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2011","2011",102.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2012","2012",105.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","KOR","Korea","2013","2013",102.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2000","2000",144.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2001","2001",152.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2002","2002",151,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2003","2003",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2004","2004",155.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2005","2005",151.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2006","2006",146.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2007","2007",145.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2008","2008",146.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2009","2009",143.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2010","2010",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2011","2011",137.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2012","2012",140.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","LUX","Luxembourg","2013","2013",141.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2000","2000",83.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2001","2001",84.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2002","2002",87.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2003","2003",86.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2004","2004",89.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2005","2005",90.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2006","2006",89.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2007","2007",91.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2008","2008",91.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2009","2009",89.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2010","2010",90.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2011","2011",92.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2012","2012",91.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","MEX","Mexico","2013","2013",93.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","NLD","Netherlands","2000","2000",146.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","NLD","Netherlands","2001","2001",143.7,,
